Timestep:78000 ,	Energy:176.85321,	Tempreture1.00000,	NumberofParticles100
Timestep:79000 ,	Energy:183.54875,	Tempreture1.00000,	NumberofParticles100
Timestep:80000 ,	Energy:168.03685,	Tempreture1.00000,	NumberofParticles100
Timestep:81000 ,	Energy:190.44408,	Tempreture1.00000,	NumberofParticles100
Timestep:82000 ,	Energy:167.47124,	Tempreture1.00000,	NumberofParticles100
Timestep:83000 ,	Energy:176.78373,	Tempreture1.00000,	NumberofParticles100
Timestep:84000 ,	Energy:167.57452,	Tempreture1.00000,	NumberofParticles100
Timestep:85000 ,	Energy:168.64504,	Tempreture1.00000,	NumberofParticles100
Timestep:86000 ,	Energy:175.32418,	Tempreture1.00000,	NumberofParticles100
Timestep:87000 ,	Energy:192.81715,	Tempreture1.00000,	NumberofParticles100
Timestep:88000 ,	Energy:190.01466,	Tempreture1.00000,	NumberofParticles100
Timestep:89000 ,	Energy:176.22460,	Tempreture1.00000,	NumberofParticles100
Timestep:90000 ,	Energy:174.26007,	Tempreture1.00000,	NumberofParticles100
Timestep:91000 ,	Energy:166.71666,	Tempreture1.00000,	NumberofParticles100
Timestep:92000 ,	Energy:173.42299,	Tempreture1.00000,	NumberofParticles100
Timestep:93000 ,	Energy:181.03526,	Tempreture1.00000,	NumberofParticles100
Timestep:94000 ,	Energy:177.26609,	Tempreture1.00000,	NumberofParticles100
Timestep:95000 ,	Energy:181.56257,	Tempreture1.00000,	NumberofParticles100
Timestep:96000 ,	Energy:177.97941,	Tempreture1.00000,	NumberofParticles100
Timestep:97000 ,	Energy:176.99931,	Tempreture1.00000,	NumberofParticles100
Timestep:98000 ,	Energy:196.28511,	Tempreture1.00000,	NumberofParticles100
Timestep:99000 ,	Energy:183.45262,	Tempreture1.00000,	NumberofParticles100
Timestep:100000 ,	Energy:180.94599,	Tempreture1.00000,	NumberofParticles100
Timestep:101000 ,	Energy:184.37383,	Tempreture1.00000,	NumberofParticles100
Timestep:102000 ,	Energy:192.41688,	Tempreture1.00000,	NumberofParticles100
Timestep:103000 ,	Energy:182.79557,	Tempreture1.00000,	NumberofParticles100
Timestep:104000 ,	Energy:184.80687,	Tempreture1.00000,	NumberofParticles100
Timestep:105000 ,	Energy:169.23454,	Tempreture1.00000,	NumberofParticles100
Timestep:106000 ,	Energy:195.60813,	Tempreture1.00000,	NumberofParticles100
Timestep:107000 ,	Energy:180.82754,	Tempreture1.00000,	NumberofParticles100
Timestep:108000 ,	Energy:174.66240,	Tempreture1.00000,	NumberofParticles100
Timestep:109000 ,	Energy:186.45810,	Tempreture1.00000,	NumberofParticles100
