ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
6 5.61759 8.23197 0
7 3.4156 3.91987 0
8 6.99934 4.21856 0
9 2.19424 9.30381 0
10 1.36848 7.33923 0
11 5.32819 3.69579 0
12 7.29496 0.814279 0
13 4.75572 9.71425 0
14 6.77737 4.90884 0
15 6.45259 5.49872 0
16 3.73627 4.47153 0
17 8.60823 0.770745 0
18 9.44339 1.80425 0
19 7.89301 5.1509 0
20 6.64501 7.16033 0
21 2.11134 3.62843 0
22 7.94555 9.46688 0
23 0.362119 4.61684 0
24 0.283243 5.74155 0
25 3.217 8.62729 0
26 0.352272 6.98344 0
27 0.273023 4.27498 0
28 0.436651 3.57959 0
29 3.60568 8.21414 0
30 8.16926 8.83355 0
31 8.23385 2.36824 0
32 8.77036 9.3775 0
33 2.74121 8.91792 0
34 9.40785 4.00334 0
35 7.0938 1.59665 0
36 2.75358 5.35132 0
37 3.60442 6.85936 0
38 8.24019 7.00205 0
39 2.25216 4.44886 0
40 8.94844 4.73543 0
41 5.73243 2.43624 0
42 5.48794 1.11563 0
43 3.47324 8.71585 0
44 9.20148 3.13549 0
45 0.835273 1.51086 0
46 3.01034 9.10444 0
47 6.09224 3.66032 0
48 0.769113 3.90554 0
49 5.23413 6.71567 0
50 3.12496 7.1326 0
51 1.79345 3.68189 0
52 1.73693 8.99814 0
53 8.59946 7.68169 0
54 1.48701 9.52952 0
55 2.52877 6.24387 0
56 8.34897 5.09202 0
57 1.83414 4.67076 0
58 9.23132 9.13496 0
59 3.47733 3.8253 0
60 6.26348 7.86257 0
61 6.20876 2.38839 0
62 3.34533 0.52033 0
63 9.81621 7.36567 0
64 1.45505 8.49833 0
65 0.06655 2.5439 0
66 6.97571 1.68937 0
67 9.78685 5.98465 0
68 4.21339 3.70929 0
69 0.650658 4.14546 0
70 0.490313 8.88282 0
71 5.17358 0.683304 0
72 3.86536 4.97189 0
73 4.1955 8.43709 0
74 5.78142 8.48579 0
75 9.10196 0.248383 0
76 8.74189 9.58674 0
77 7.09989 2.61822 0
78 6.10188 9.94175 0
79 3.16398 2.47656 0
80 6.76328 6.72724 0
81 2.33136 7.86875 0
82 3.05139 7.47781 0
83 4.20908 9.41362 0
84 1.49866 5.15366 0
85 7.72036 7.76754 0
86 3.55373 6.85067 0
87 8.65611 9.54824 0
88 6.04085 2.44547 0
89 5.61346 0.540994 0
90 2.44665 7.64123 0
91 5.06279 9.89801 0
92 9.31561 4.85677 0
93 4.4716 2.94336 0
94 3.02091 6.76356 0
95 9.17102 1.83706 0
96 7.30772 3.1728 0
97 7.1753 2.82461 0
98 2.70434 8.17054 0
99 9.19957 6.12095 0
100 3.69169 4.19414 0
