frame,N,rho,Energy,Virial,Pressure
0,24000,0.029999999999999999,27028.036211396153,53309.573284673461,0.063318483302920919
1,24000,0.029999999999999999,25854.080317940334,53493.723539053892,0.063433577211908676
2,24000,0.029999999999999999,27737.165817440477,54179.187893675888,0.063861992433547426
3,24000,0.029999999999999999,26965.780069456407,53639.960372796493,0.063524975232997799
4,24000,0.029999999999999999,25826.788745059359,52639.46174091749,0.062899663588073432
5,24000,0.029999999999999999,26354.067043988704,53345.092179788451,0.063340682612367777
6,24000,0.029999999999999999,28603.346749360851,55618.746945865969,0.064761716841166231
7,24000,0.029999999999999999,26304.846304512743,53247.582002611511,0.063279738751632203
8,24000,0.029999999999999999,26667.601050347126,54403.014789222092,0.064001884243263807
9,24000,0.029999999999999999,26616.739769494849,53422.533560013828,0.063389083475008642
10,24000,0.029999999999999999,27129.709976976119,53897.699074310141,0.06368606192144384
11,24000,0.029999999999999999,26032.950344793251,51750.564895221964,0.062344103059513725
12,24000,0.029999999999999999,26522.028099744668,54299.253366716563,0.063937033354197842
13,24000,0.029999999999999999,25247.328127942699,52342.384556300691,0.062713990347687931
14,24000,0.029999999999999999,26638.124688226719,52327.676733554952,0.062704797958471836
15,24000,0.029999999999999999,25931.343144218168,52359.943425444464,0.062724964640902797
16,24000,0.029999999999999999,26308.906765737363,53236.621485640797,0.063272888428525492
17,24000,0.029999999999999999,25757.090056781071,51561.814589907452,0.062226134118692156
18,24000,0.029999999999999999,26586.804317210819,52210.859357809153,0.062631787098630723
19,24000,0.029999999999999999,27755.344102000556,53448.777633111509,0.063405486020694693
20,24000,0.029999999999999999,26927.352204201674,54150.975648724452,0.063844359780452775
21,24000,0.029999999999999999,25569.466453798515,51708.390055196469,0.062317743784497795
22,24000,0.029999999999999999,27281.746742219835,53117.61303184765,0.063198508144904783
23,24000,0.029999999999999999,26734.965997418803,53305.18281450525,0.063315739259065779
24,24000,0.029999999999999999,26489.865676831592,53349.107289659551,0.063343192056037223
