frame,N_global,rho,Energy,Virial,Pressure
0,24000,0.029999999999999999,27028.036039294842,53309.573254098024,0.063318483283811261
1,24000,0.029999999999999999,25854.080377734801,53493.723535096935,0.063433577209435585
2,24000,0.029999999999999999,27737.165619735453,54179.187897725191,0.063861992436078235
3,24000,0.029999999999999999,26965.78011363183,53639.960350079469,0.06352497521879967
4,24000,0.029999999999999999,25826.788701298654,52639.461754501157,0.062899663596563224
5,24000,0.029999999999999999,26354.066962842706,53345.092139494387,0.063340682587183991
6,24000,0.029999999999999999,28603.346879737575,55618.746971632529,0.064761716857270335
7,24000,0.029999999999999999,26304.84637879028,53247.582075095968,0.063279738796934978
8,24000,0.029999999999999999,26667.600877656623,54403.014759300422,0.064001884224562766
9,24000,0.029999999999999999,26616.739695999771,53422.533656054162,0.063389083535033849
10,24000,0.029999999999999999,27129.709990914627,53897.699055977777,0.063686061909986103
11,24000,0.029999999999999999,26032.950422026814,51750.564947047009,0.062344103091904378
12,24000,0.029999999999999999,26522.028141200321,54299.253248589106,0.063937033280368191
13,24000,0.029999999999999999,25247.32810219605,52342.384640318123,0.062713990400198816
14,24000,0.029999999999999999,26638.124684577757,52327.676713670786,0.06270479794604425
15,24000,0.029999999999999999,25931.34328843699,52359.943397409937,0.062724964623381202
16,24000,0.029999999999999999,26308.906873750515,53236.621451075123,0.063272888406921954
17,24000,0.029999999999999999,25757.090092449776,51561.814647908919,0.062226134154943075
18,24000,0.029999999999999999,26586.804251133162,52210.859325154612,0.062631787078221632
19,24000,0.029999999999999999,27755.344056455753,53448.777641117369,0.063405486025698357
20,24000,0.029999999999999999,26927.352181313752,54150.975569221227,0.063844359730763273
21,24000,0.029999999999999999,25569.466433641159,51708.390120277996,0.062317743825173744
22,24000,0.029999999999999999,27281.74673813182,53117.61306561307,0.063198508166008166
23,24000,0.029999999999999999,26734.965830483477,53305.182876571038,0.063315739297856888
24,24000,0.029999999999999999,26489.865813684693,53349.10733792156,0.063343192086200983
25,24000,0.029999999999999999,25526.04473276154,52371.824979212462,0.062732390612007791
26,24000,0.029999999999999999,28019.051454237346,55354.778864095279,0.064596736790059547
27,24000,0.029999999999999999,25841.465269813503,52370.846633486115,0.062731779145928812
28,24000,0.029999999999999999,26274.521177476239,52984.929893215631,0.063115581183259772
29,24000,0.029999999999999999,24555.581281798262,51385.068947696032,0.06211566809231002
30,24000,0.029999999999999999,27759.089005695059,54752.431323849567,0.064220269577405981
31,24000,0.029999999999999999,25345.891358914385,52567.757391566978,0.062854848369729363
32,24000,0.029999999999999999,26892.460491658177,54440.027226467588,0.064025017016542243
33,24000,0.029999999999999999,26255.718908616283,52906.018583692938,0.063066261614808078
34,24000,0.029999999999999999,27385.72378379622,53095.787373638639,0.06318486710852414
35,24000,0.029999999999999999,26856.582000911963,53599.504547979152,0.063499690342486967
36,24000,0.029999999999999999,26054.522495312842,52651.618969102536,0.062907261855689081
37,24000,0.029999999999999999,25572.518935400578,51815.154195818868,0.062384471372386792
38,24000,0.029999999999999999,25444.818128849394,51883.268075501088,0.062427042547188179
39,24000,0.029999999999999999,25829.217231088835,52334.023823731011,0.062708764889831875
40,24000,0.029999999999999999,25200.04938908224,51910.519420261408,0.062444074637663376
41,24000,0.029999999999999999,27056.353828546551,53952.453114117001,0.063720283196323127
42,24000,0.029999999999999999,26471.34934695618,53670.094817882193,0.063543809261176365
43,24000,0.029999999999999999,27789.981057687841,54402.676997189279,0.064001673123243299
44,24000,0.029999999999999999,25983.347479910648,53107.109384360228,0.063191943365225142
45,24000,0.029999999999999999,26761.150320064065,53523.240060728705,0.06345202503795544
46,24000,0.029999999999999999,26370.995849117164,53895.124357036751,0.063684452723147961
47,24000,0.029999999999999999,25652.224648838623,51697.146044472516,0.062310716277795324
48,24000,0.029999999999999999,25288.59330840272,51834.519964972031,0.062396574978107515
49,24000,0.029999999999999999,27066.448388664099,53810.755450913784,0.063631722156821113
50,24000,0.029999999999999999,26740.343608108822,52989.394068330235,0.063118371292706393
51,24000,0.029999999999999999,27100.941507877156,52178.458355544062,0.06261153647221504
52,24000,0.029999999999999999,26753.930918333906,53487.660669991543,0.063429787918744707
53,24000,0.029999999999999999,25505.239996438224,51287.318130386164,0.06205457383149135
54,24000,0.029999999999999999,24870.848637396153,51952.90773689968,0.062470567335562298
55,24000,0.029999999999999999,26837.545306699096,53749.594037772287,0.063593496273607678
56,24000,0.029999999999999999,27252.720283445051,54121.787851600966,0.06382611740725061
57,24000,0.029999999999999999,26742.754318244784,52667.260724307867,0.062917037952692406
58,24000,0.029999999999999999,26214.239412011761,52121.768207994697,0.062576105129996687
59,24000,0.029999999999999999,27868.540139444463,54600.389048949088,0.064125243155593176
60,24000,0.029999999999999999,27494.122316483325,53645.003552996735,0.063528127220622954
61,24000,0.029999999999999999,26863.347918480242,54814.166122880037,0.064258853826800022
62,24000,0.029999999999999999,24791.908906319044,50677.488663858632,0.061673430414911641
63,24000,0.029999999999999999,26129.98276484025,52336.590592136563,0.062710369120085346
64,24000,0.029999999999999999,25419.59559808921,51259.577041577941,0.062037235650986212
65,24000,0.029999999999999999,27209.950097930425,53045.139209651505,0.063153212006032189
66,24000,0.029999999999999999,27314.025559090005,52783.464440795826,0.062989665275497389
67,24000,0.029999999999999999,27985.45034111217,53946.390762737436,0.063716494226710899
68,24000,0.029999999999999999,27425.976880064965,54299.942081323228,0.063937463800827016
69,24000,0.029999999999999999,27608.938905514144,55193.180303592315,0.064495737689745203
70,24000,0.029999999999999999,25499.681628541883,52012.742497958563,0.062507964061224108
71,24000,0.029999999999999999,25134.268256075942,52497.884398331182,0.062811177748956989
72,24000,0.029999999999999999,26638.701381056271,54890.955332626851,0.064306847082891777
73,24000,0.029999999999999999,26035.690699410687,52617.260001701565,0.062885787501063467
74,24000,0.029999999999999999,27108.589177377129,52984.899968578429,0.063115562480361515
75,24000,0.029999999999999999,26949.57811799927,53671.715947653516,0.063544822467283449
76,24000,0.029999999999999999,28011.210935022729,54892.496920707665,0.064307810575442298
77,24000,0.029999999999999999,27180.313006885724,53350.567932715741,0.063344104957947345
78,24000,0.029999999999999999,28139.680071025894,55523.370883794458,0.06470210680237154
79,24000,0.029999999999999999,26664.963003475397,53383.209226089297,0.063364505766305812
